testing_set_index	precision	recall	F1	MCC	AUC	fungal_FP	bacterial_FP	viral_FN	toolcombo	numtools
2	0.33717277486910996	0.644	0.4426116838487973	0.3803797750671402	0.8323	156	5366	356	0 0 0 0 1 1	2
2	0.33717277486910996	0.644	0.4426116838487973	0.3803797750671402	0.8323	156	5366	356	0 1 0 0 1 1	3
2	0.3181011535048802	0.717	0.4406883835279656	0.3881860218965772	0.8935	75	5316	283	1 0 0 1 1 0	3
2	0.3181011535048802	0.717	0.4406883835279656	0.3881860218965772	0.8935	75	5316	283	1 1 0 1 1 0	4
2	0.318808359270787	0.717	0.44136657433056325	0.388903630845829	0.8909	75	5320	283	1 0 0 0 1 0	2
2	0.318808359270787	0.717	0.44136657433056325	0.388903630845829	0.8909	75	5320	283	1 1 0 0 1 0	3
7	0.36342042755344417	0.612	0.45603576751117736	0.3917292330055759	0.7988	0	5540	388	0 0 0 0 1 0	1
7	0.36342042755344417	0.612	0.45603576751117736	0.3917292330055759	0.7988	0	5540	388	0 1 0 0 1 0	2
10	0.35352973874374655	0.636	0.45444801714898186	0.3923058615193528	0.8321	162	5479	364	0 0 0 0 1 1	2
10	0.35352973874374655	0.636	0.45444801714898186	0.3923058615193528	0.8321	162	5479	364	0 1 0 0 1 1	3
2	0.3428128231644261	0.663	0.4519427402862986	0.39262855924873674	0.8488	156	5362	337	0 0 0 1 1 1	3
2	0.3428128231644261	0.663	0.4519427402862986	0.39262855924873674	0.8488	156	5362	337	0 1 0 1 1 1	4
5	0.3705275924802911	0.611	0.4613061532653832	0.3973950256838231	0.8016	162	5575	389	0 0 0 0 1 0	1
5	0.3705275924802911	0.611	0.4613061532653832	0.3973950256838231	0.8016	162	5575	389	0 1 0 0 1 0	2
10	0.35655058043117743	0.645	0.4592381630473478	0.3984086353997331	0.8389	162	5479	355	0 0 0 1 1 1	3
10	0.35655058043117743	0.645	0.4592381630473478	0.3984086353997331	0.8389	162	5479	355	0 1 0 1 1 1	4
6	0.3716012084592145	0.615	0.4632768361581921	0.39972922563640845	0.8136	0	5581	385	0 0 0 0 1 0	1
6	0.3716012084592145	0.615	0.4632768361581921	0.39972922563640845	0.8136	0	5581	385	0 1 0 0 1 0	2
9	0.36142533936651583	0.639	0.4617052023121387	0.40035934133218193	0.8267	0	5478	361	0 0 0 1 1 0	2
9	0.36142533936651583	0.639	0.4617052023121387	0.40035934133218193	0.8267	0	5478	361	0 1 0 1 1 0	3
9	0.3606281547952888	0.643	0.4620912684153791	0.40119269147468906	0.8326	162	5467	357	0 0 0 0 1 1	2
9	0.3606281547952888	0.643	0.4620912684153791	0.40119269147468906	0.8326	162	5467	357	0 1 0 0 1 1	3
