testing_set_index	precision	recall	F1	MCC	AUC	fungal_FP	protist_FP	bacterial_FP	viral_FN	toolcombo	numtools
2	0.8209764918625678	0.454	0.5846748229233741	0.5802230553391066	0.9704	0	477	6401	546	0 0 1 0 1 1	3
7	0.7028423772609819	0.544	0.6133032694475761	0.5804964198848359	0.9625	168	0	6267	456	0 1 1 1 1 0	4
3	0.47977207977207975	0.842	0.6112522686025408	0.581814291342472	0.9206	154	246	5954	158	0 1 0 1 1 1	4
6	0.47954545454545455	0.844	0.6115942028985507	0.5823341215766452	0.9161	145	215	5959	156	1 1 0 0 1 0	3
3	0.6848484848484848	0.565	0.6191780821917807	0.5830341904747561	0.9594	0	0	6248	435	0 1 1 1 1 0	4
10	0.4658484525080043	0.873	0.6075156576200418	0.5833146744048094	0.9212	153	217	5908	127	1 1 0 1 1 0	4
4	0.48303622771707877	0.84	0.6133625410733845	0.5835404425566149	0.9243	166	254	5937	160	0 1 0 1 1 1	4
8	0.7424460431654676	0.516	0.6088495575221239	0.5838529781490801	0.7482	0	0	6325	484	0 0 0 1 0 0	1
6	0.4683136412459721	0.872	0.6093640810621943	0.584866523703145	0.9277	145	215	5908	128	1 1 0 1 1 0	4
2	0.49111374407582936	0.829	0.6168154761904763	0.5852278200264602	0.9198	150	218	6028	171	1 1 0 0 0 0	2
7	0.49430796884361894	0.825	0.618209067066317	0.5860683340758568	0.9125	155	214	6041	175	1 1 0 0 0 0	2
10	0.47519294377067256	0.862	0.6126510305614783	0.5864508232040505	0.9173	153	217	5944	138	1 1 0 0 1 0	3
1	0.4943215780035864	0.827	0.6187803965581744	0.5869569382607125	0.9177	152	212	6031	173	1 1 0 0 0 0	2
9	0.48697162709901565	0.841	0.6167950128346168	0.5870681298613347	0.9173	155	256	5943	159	0 1 0 1 1 1	4
3	0.46346555323590816	0.888	0.6090534979423868	0.5875840350393223	0.9312	147	205	5920	112	1 1 0 1 1 0	4
2	0.46217616580310883	0.892	0.6088737201365187	0.5880422710712141	0.9343	150	217	5877	108	1 1 0 1 1 0	4
4	0.46586134453781514	0.887	0.6108815426997245	0.5891330143644148	0.9311	163	217	5888	113	1 1 0 1 1 0	4
3	0.4796430563301729	0.86	0.6158252774794128	0.5892995142566898	0.9225	147	205	5987	140	1 1 0 0 1 0	3
9	0.4984912492456246	0.826	0.6217538577342867	0.589732336823631	0.9161	148	221	6036	174	1 1 0 0 0 0	2
9	0.47058823529411764	0.88	0.6132404181184669	0.5901303493799723	0.9306	148	220	5900	120	1 1 0 1 1 0	4
7	0.48306997742663654	0.856	0.6176046176046176	0.5903328113448363	0.9225	155	214	5973	144	1 1 0 0 1 0	3
6	0.7626865671641792	0.511	0.6119760479041916	0.5905417094205029	0.749	0	0	6334	489	0 0 0 1 0 0	1
5	0.4943820224719101	0.836	0.6213303604607952	0.5908596187506682	0.9133	144	214	6044	164	1 1 0 0 0 0	2
8	0.49041255084253343	0.844	0.6203601617052554	0.591137227876362	0.9298	158	250	5966	156	0 1 0 1 1 1	4
5	0.4873853211009174	0.85	0.6195335276967929	0.59127457576943665	0.9231	154	252	5958	150	0 1 0 1 1 1	4
10	0.4874141876430206	0.852	0.6200873362445415	0.5921344333233861	0.9193	153	217	5997	148	1 1 0 1 0 0	3
6	0.49269433080070135	0.843	0.6219107340464773	0.5924284328494215	0.921	148	252	5970	157	0 1 0 1 1 1	4
6	0.717815344603381	0.552	0.6240814019219899	0.5928601824027039	0.9643	0	0	6275	448	0 1 1 1 1 0	4
9	0.4872086412734508	0.857	0.6212395795578107	0.5940535417658387	0.9208	148	220	5967	143	1 1 0 0 1 0	3
4	0.4809075816270061	0.869	0.6191663697898112	0.5940658753496161	0.9209	163	217	5938	131	1 1 0 0 1 0	3
7	0.4759589411129119	0.881	0.6180287618379515	0.5950335707603729	0.9324	155	214	5933	119	1 1 0 1 1 0	4
5	0.46889702038682696	0.897	0.6158599382080329	0.5958288234784105	0.9339	143	213	5915	103	1 1 0 1 1 0	4
1	0.48125689084895257	0.873	0.6204690831556503	0.5960460078871801	0.929	152	212	5941	127	1 1 0 0 1 0	3
5	0.48464544946957006	0.868	0.6219992834109638	0.596689101348885	0.9251	144	213	5983	132	1 1 0 0 1 0	3
6	0.495911214953271	0.849	0.6261061946902654	0.5975435486058761	0.9316	145	216	6008	151	1 1 0 1 0 0	3
8	0.4720464135021097	0.895	0.6180939226519336	0.5976348665848683	0.9403	151	215	5916	105	1 1 0 1 1 0	4
8	0.690223792697291	0.586	0.633856138453218	0.5977085791394514	0.962	0	495	6248	414	0 1 1 1 1 0	4
1	0.7822085889570553	0.51	0.6174334140435837	0.599276421040517	0.7472	0	0	6340	490	0 0 0 1 0 0	1
3	0.5277777777777778	0.798	0.6353503184713376	0.5998052064337732	0.8884	154	247	6122	202	0 1 0 1 0 1	3
8	0.5008891523414345	0.845	0.6289542240416822	0.5998419615472675	0.9229	151	215	6047	155	1 1 0 0 0 0	2
2	0.5318578135479544	0.793	0.6366920915295061	0.6004881340168933	0.8896	152	253	6125	207	0 1 0 1 0 1	3
7	0.5002942907592701	0.85	0.6298629121896998	0.6015120891606202	0.9254	159	249	5981	150	0 1 0 1 1 1	4
3	0.49231644849174727	0.865	0.627493652520856	0.6016425863022192	0.9332	147	206	6029	135	1 1 0 1 0 0	3
10	0.8614232209737828	0.46	0.5997392438070404	0.601721322071789	0.9736	0	474	6433	540	0 0 1 1 0 1	3
2	0.4872080088987764	0.876	0.6261615439599714	0.6020905421745475	0.9261	150	217	5970	124	1 1 0 0 1 0	3
1	0.5041766109785203	0.845	0.6315396113602392	0.602422334310325	0.9298	165	250	5990	155	0 1 0 1 1 1	4
1	0.4766702014846235	0.899	0.6230076230076229	0.6031578648371533	0.9412	152	212	5907	101	1 1 0 1 1 0	4
9	0.5326666666666666	0.799	0.6392	0.603776129532683	0.8927	155	257	6108	201	0 1 0 1 0 1	3
4	0.49570200573065903	0.865	0.6302367941712205	0.6043003789644774	0.9312	163	217	5997	135	1 1 0 1 0 0	3
10	0.5770440251572327	0.734	0.6461267605633804	0.6051453623776487	0.9112	0	401	6083	266	0 0 0 1 1 1	3
7	0.49884393063583815	0.863	0.6322344322344322	0.6059397420138065	0.936	155	214	6024	137	1 1 0 1 0 0	3
5	0.527579493835172	0.813	0.6399055489964581	0.6062891623915855	0.8973	154	253	6097	187	0 1 0 1 0 1	3
8	0.490787269681742	0.879	0.6298817628090291	0.6063123104671169	0.9333	151	215	5982	121	1 1 0 0 1 0	3
2	0.49685893774985723	0.87	0.6324972737186477	0.6073086054133744	0.9388	150	218	6009	130	1 1 0 1 0 0	3
9	0.5026208503203261	0.863	0.6352594773647405	0.6088943586523476	0.9355	148	221	6017	137	1 1 0 1 0 0	3
3	0.48061603823685606	0.905	0.6278182448838016	0.6089743978222525	0.938	147	181	5968	95	1 1 0 0 0 1	3
1	0.7290076335877863	0.573	0.6416573348264277	0.6109580612975426	0.9653	0	499	6268	427	0 1 1 1 1 0	4
6	0.4864864864864865	0.9	0.631578947368421	0.6115848403961122	0.9378	144	191	5950	100	1 1 0 0 0 1	3
4	0.5393858477970628	0.808	0.6469175340272217	0.6127930346379502	0.8933	166	254	6114	192	0 1 0 1 0 1	3
1	0.5034642032332564	0.872	0.6383601756954611	0.6134768554533614	0.9422	152	212	6021	128	1 1 0 1 0 0	3
4	0.4835630965005302	0.912	0.6320166320166319	0.6142962053655519	0.9393	161	192	5933	88	1 1 0 0 0 1	3
10	0.673036093418259	0.634	0.6529351184346035	0.6143936200116722	0.9653	0	425	6263	366	0 1 1 1 1 1	5
7	0.5427034297242771	0.807	0.6489746682750301	0.6147682237276164	0.8997	159	249	6138	193	0 1 0 1 0 1	3
8	0.503448275862069	0.876	0.6394160583941606	0.615173194602591	0.9416	151	215	6028	124	1 1 0 1 0 0	3
8	0.5450236966824644	0.805	0.6499798142914817	0.6155701853716795	0.8997	158	250	6144	195	0 1 0 1 0 1	3
3	0.4621686746987952	0.959	0.6237398373983739	0.6156444621895414	0.9548	147	180	5865	41	1 1 0 1 1 1	5
5	0.5008498583569405	0.884	0.6394213381555153	0.6165255119930038	0.9358	143	214	6024	116	1 1 0 1 0 0	3
2	0.48716577540106953	0.911	0.6348432055749128	0.6168040118392646	0.9445	150	193	5961	89	1 1 0 0 0 1	3
10	0.4815007816571131	0.924	0.6330935251798561	0.6175930910174594	0.9424	152	191	5929	76	1 1 0 0 0 1	3
6	0.5458839406207827	0.809	0.6518936341659952	0.6179200393312033	0.8947	148	253	6139	191	0 1 0 1 0 1	3
2	0.4638728323699422	0.963	0.6261378413524057	0.6186658815249981	0.9576	150	192	5835	37	1 1 0 1 1 1	5
3	0.4768211920529801	0.936	0.6317921025987174	0.6187143808010123	0.9469	147	180	5926	64	1 1 0 0 1 1	4
9	0.49135135135135133	0.909	0.6378947368421053	0.6194043953078228	0.9381	148	195	5960	91	1 1 0 0 0 1	3
9	0.47035573122529645	0.952	0.6296296296296297	0.6197450118028199	0.9516	148	194	5852	48	1 1 0 1 1 1	5
6	0.4813664596273292	0.93	0.6343792633015007	0.6199070793236646	0.9458	144	190	5907	70	1 1 0 0 1 1	4
9	0.7319201995012469	0.587	0.6514983351831297	0.620545655131743	0.971	160	436	6327	413	1 1 1 0 0 0	3
10	0.4684596577017115	0.958	0.6292282430213464	0.6206221324914387	0.9513	152	191	5855	42	1 1 0 1 1 1	5
6	0.4713155291790307	0.953	0.6307081403044342	0.6209379445629727	0.9557	144	190	5863	47	1 1 0 1 1 1	5
3	0.7364438839848676	0.584	0.6514221974344674	0.621241270652455	0.9704	163	431	6349	416	1 1 1 0 0 0	3
4	0.4685519258898099	0.961	0.629957391019338	0.6219411376354702	0.9557	161	192	5851	39	1 1 0 1 1 1	5
7	0.4898720682302772	0.919	0.6390820584144646	0.6224369437766748	0.9432	154	189	5963	81	1 1 0 0 0 1	3
5	0.4898720682302772	0.919	0.6390820584144646	0.6224485873428266	0.9411	143	190	5976	81	1 1 0 0 0 1	3
9	0.48439125910509884	0.931	0.6372347707049967	0.6228923313572063	0.943	148	194	5912	69	1 1 0 0 1 1	4
1	0.49404117009750814	0.912	0.640899508081518	0.6229219103998965	0.9401	151	187	5976	88	1 1 0 0 0 1	3
2	0.5555555555555556	0.805	0.657411188240098	0.6231441297201662	0.9173	0	407	5996	195	0 0 0 1 1 1	3
1	0.48081841432225064	0.94	0.6362098138747885	0.6237079314937123	0.9488	151	187	5900	60	1 1 0 0 1 1	4
5	0.4705021940516821	0.965	0.6325794821370042	0.625272679238447	0.9583	142	189	5878	35	1 1 0 1 1 1	5
10	0.4778672032193159	0.95	0.6358768406961178	0.6253544498479858	0.9486	152	191	5891	50	1 1 0 0 1 1	4
8	0.4720861900097943	0.964	0.6337935568704799	0.6262228098254061	0.9594	151	189	5873	36	1 1 0 1 1 1	5
4	0.740880503144654	0.589	0.656267409470752	0.6264255443128564	0.9697	171	438	6339	411	1 1 1 0 0 0	3
3	0.4825997952917093	0.943	0.6384563303994584	0.6264885591287401	0.9553	147	181	5943	57	1 1 0 1 0 1	4
10	0.48431876606683805	0.942	0.6397283531409168	0.6274609681047199	0.9485	152	191	5923	58	1 1 0 1 0 1	4
1	0.7509677419354839	0.582	0.655774647887324	0.6275870515988415	0.9722	173	434	6342	418	1 1 1 0 0 0	3
4	0.48244274809160304	0.948	0.6394603709949409	0.6283930118778069	0.947	161	192	5895	52	1 1 0 0 1 1	4
1	0.47602570439940683	0.963	0.6371154482302349	0.6291891214607904	0.9594	151	187	5867	37	1 1 0 1 1 1	5
1	0.5582990397805213	0.814	0.6623270951993491	0.6292730857915348	0.8993	165	250	6160	186	0 1 0 1 0 1	3
7	0.7458912768647282	0.59	0.6588498045784478	0.6296160886421056	0.9724	167	435	6347	410	1 1 1 0 0 0	3
5	0.4856115107913669	0.945	0.6415478615071283	0.6298071304833562	0.9503	143	189	5938	55	1 1 0 0 1 1	4
7	0.4844149207971385	0.948	0.6411903956712885	0.6300447598745675	0.9512	154	189	5916	52	1 1 0 0 1 1	4
6	0.8756660746003553	0.493	0.6308381317978247	0.6304269360442187	0.9786	0	0	6402	507	1 0 1 0 0 0	2
3	0.8349358974358975	0.521	0.6416256157635468	0.6308706584041843	0.978	0	499	6382	479	1 0 1 0 0 0	2
2	0.48638931689779147	0.947	0.6426874787919918	0.6312421647271428	0.9511	150	192	5925	53	1 1 0 0 1 1	4
7	0.47798119742701634	0.966	0.6395233366434955	0.6320817899516054	0.9592	154	189	5883	34	1 1 0 1 1 1	5
2	0.7509529860228716	0.591	0.6614437604924455	0.632803354572205	0.9734	156	435	6352	409	1 1 1 0 0 0	3
4	0.4883960804538422	0.947	0.6444368832936372	0.6329647303140387	0.9545	161	192	5921	53	1 1 0 1 0 1	4
8	0.49732620320855614	0.93	0.6480836236933798	0.6332069385012258	0.9448	151	189	5983	70	1 1 0 0 0 1	3
3	0.5641025641025641	0.814	0.6663937781416291	0.6334721510251669	0.9196	0	402	6020	186	0 0 0 1 1 1	3
6	0.4924123495552067	0.941	0.6465132256956372	0.6337091426057047	0.9568	144	191	5935	59	1 1 0 1 0 1	4
9	0.4924123495552067	0.941	0.6465132256956372	0.6337486306027111	0.9539	148	195	5935	59	1 1 0 1 0 1	4
8	0.7444168734491315	0.6	0.6644518272425249	0.6346448010197467	0.9729	160	433	6348	400	1 1 1 0 0 0	3
6	0.8213740458015267	0.538	0.6501510574018127	0.6353835772322486	0.9737	0	496	6365	462	1 1 1 0 0 0	3
2	0.49145520455722425	0.949	0.6475605595359947	0.6363067545774866	0.9594	150	193	5941	51	1 1 0 1 0 1	4
4	0.8346456692913385	0.53	0.6483180428134556	0.6365169827327697	0.9768	0	0	6371	470	1 0 1 0 0 0	2
8	0.4897225077081192	0.953	0.646978954514596	0.6365886831208483	0.9526	151	189	5935	47	1 1 0 0 1 1	4
9	0.821917808219178	0.54	0.651780325890163	0.6369295275130606	0.9778	0	0	6354	460	1 0 1 0 0 0	2
10	0.7344497607655502	0.614	0.6688453159041394	0.6373676230370552	0.9714	0	474	6296	386	0 0 1 1 1 1	4
4	0.5704274702172389	0.814	0.6707869798104655	0.6379418340421382	0.9233	171	404	6013	186	0 0 0 1 1 1	3
10	0.7481389578163772	0.603	0.6677740863787376	0.6383246758966072	0.9731	0	437	6347	397	1 1 1 0 0 0	3
7	0.49429460580912865	0.953	0.6509562841530055	0.6403844749179176	0.9608	154	189	5952	47	1 1 0 1 0 1	4
5	0.4933127572016461	0.959	0.6514945652173912	0.6420974133987237	0.9585	142	190	5954	41	1 1 0 1 0 1	4
1	0.8525121555915721	0.526	0.6505875077303649	0.6421337667799335	0.9795	0	0	6375	474	1 0 1 0 0 0	2
9	0.5738278516445067	0.82	0.6751749691230959	0.6430839713380252	0.9178	0	403	6008	180	0 0 0 1 1 1	3
2	0.8518518518518519	0.529	0.6526835286859962	0.6437555028194902	0.9806	0	0	6387	471	1 0 1 0 0 0	2
8	0.49765502866076083	0.955	0.6543336759164097	0.6440213442736028	0.9596	151	189	5962	45	1 1 0 1 0 1	4
1	0.5007907221929362	0.95	0.6558508802209182	0.6445041804743943	0.9594	151	187	5967	50	1 1 0 1 0 1	4
10	0.831306990881459	0.547	0.6598311218335344	0.6458047068278522	0.98	0	0	6372	453	1 0 1 0 0 0	2
5	0.5782792665726375	0.82	0.6782464846980976	0.6462788001750589	0.9188	162	404	6043	180	0 0 0 1 1 1	3
8	0.5771388499298737	0.823	0.6784830997526793	0.6468566040463664	0.9304	0	404	6034	177	0 0 0 1 1 1	3
7	0.8405572755417957	0.543	0.6597812879708385	0.6475925698938416	0.9796	0	0	6372	457	1 0 1 0 0 0	2
8	0.8379204892966361	0.548	0.6626360338573156	0.6495535960714561	0.9799	0	0	6372	452	1 0 1 0 0 0	2
6	0.5851746258018532	0.821	0.6833125260091553	0.6515256825307234	0.9232	154	403	6045	179	0 0 0 1 1 1	3
6	0.8057851239669421	0.585	0.6778679026651216	0.6570063140905185	0.9742	0	448	6389	415	0 1 1 1 0 1	4
3	0.7599039615846338	0.633	0.690671031096563	0.6618237293345748	0.9672	0	427	6369	367	0 1 1 1 0 1	4
7	0.5951184493898062	0.829	0.6928541579607187	0.6622740200758518	0.9258	168	403	6056	171	0 0 0 1 1 1	3
1	0.6038433111603844	0.817	0.6944326391840205	0.6626947236911687	0.9288	0	405	6067	183	0 0 0 1 1 1	3
10	0.6996996996996997	0.699	0.6993496748374187	0.6645314113963776	0.9724	0	437	6264	301	1 1 1 1 0 0	4
10	0.7555816686251469	0.643	0.6947595894111291	0.665176953441486	0.9774	0	0	6289	357	1 0 1 1 0 0	3
5	0.7679222357229648	0.632	0.6933625891387822	0.6654752712444357	0.9739	161	435	6360	368	1 1 1 0 0 0	3
2	0.5978798586572438	0.846	0.7006211180124223	0.6721009683578486	0.9343	0	499	5984	154	1 0 0 1 1 0	3
3	0.6061046511627907	0.834	0.702020202020202	0.6722876907125072	0.9303	0	498	6015	166	1 0 0 1 1 0	3
6	0.612094395280236	0.83	0.7045840407470287	0.6744262087884993	0.928	0	498	6013	170	1 0 0 1 1 0	3
6	0.6940726577437859	0.726	0.7096774193548387	0.6753517234917973	0.9715	0	0	6180	274	1 0 1 0 1 0	3
4	0.6576040781648258	0.774	0.711070280202113	0.6773754873510719	0.9662	170	427	6158	226	0 1 1 1 1 1	5
10	0.6131868131868132	0.837	0.7078224101479915	0.6785432547272057	0.926	162	0	6016	163	1 0 0 1 1 0	3
9	0.6573839662447257	0.779	0.7130434782608696	0.6796957476185305	0.967	0	427	6157	221	0 1 1 1 1 1	5
6	0.6405750798722045	0.802	0.7122557726465365	0.6801041096813243	0.9206	0	498	6066	198	1 0 0 0 1 0	2
9	0.7795180722891566	0.647	0.7071038251366121	0.6802113574208537	0.9697	0	427	6371	353	0 1 1 1 0 1	4
3	0.6601529311809685	0.777	0.7138263665594855	0.6805266208389903	0.966	0	427	6182	223	0 1 1 1 1 1	5
6	0.8993506493506493	0.554	0.6856435643564357	0.6816708510541584	0.98	0	488	6427	446	0 0 1 1 0 1	3
4	0.7742316784869976	0.655	0.7096424702058505	0.6820077715927488	0.9685	170	427	6361	345	0 1 1 1 0 1	4
3	0.6437149719775821	0.804	0.7149844375277901	0.6832347216793596	0.9261	0	498	6084	196	1 0 0 0 1 0	2
7	0.6472491909385113	0.8	0.7155635062611806	0.6835509568325097	0.9682	167	435	6144	200	1 1 1 0 1 0	4
2	0.7775147928994083	0.657	0.7121951219512195	0.6848761851208971	0.9701	0	429	6373	343	0 1 1 1 0 1	4
9	0.6175182481751825	0.846	0.7139240506329114	0.6857469790361079	0.9341	0	499	6001	154	1 0 0 1 1 0	3
3	0.6742556917688266	0.77	0.718954248366013	0.6859052394040923	0.8903	0	403	6243	230	0 0 0 1 0 1	2
10	0.6389976507439311	0.816	0.7167325428194993	0.6859225535340624	0.968	0	437	6119	184	1 1 1 0 1 0	4
6	0.6778761061946903	0.766	0.7192488262910799	0.6860488695805681	0.9695	0	496	6145	234	1 1 1 0 1 0	4
2	0.678793256433008	0.765	0.7193229901269395	0.6861354274478038	0.8903	0	408	6248	235	0 0 0 1 0 1	2
1	0.7965260545905707	0.642	0.7109634551495015	0.6862731585249889	0.9723	0	427	6379	358	0 1 1 1 0 1	4
5	0.8688524590163934	0.583	0.6977857570317174	0.6863147014279957	0.9811	0	0	6392	417	1 0 1 0 0 0	2
10	0.6329501915708812	0.826	0.7167028199566161	0.6867179160484442	0.9243	162	0	6052	174	1 0 0 0 1 0	2
6	0.6898444647758463	0.754	0.720496894409938	0.6872982068299969	0.9234	0	499	6164	246	1 0 0 0 0 0	1
5	0.7698504027617952	0.669	0.7158908507223114	0.6876032245822206	0.9711	0	428	6362	331	0 1 1 1 0 1	4
9	0.6512570965125709	0.803	0.7192118226600985	0.6876084371557815	0.9668	160	436	6135	197	1 1 1 0 1 0	4
4	0.6154401154401155	0.853	0.7150041911148366	0.6876462243302892	0.936	0	0	6001	147	1 0 0 1 1 0	3
7	0.6701030927835051	0.78	0.7208872458410351	0.6882953688336376	0.9699	168	429	6187	220	0 1 1 1 1 1	5
10	0.685251798561151	0.762	0.7215909090909091	0.6886311948680415	0.9718	0	0	6163	238	1 0 1 0 1 0	3
3	0.6937269372693727	0.752	0.7216890595009597	0.6887211888803993	0.9709	0	499	6182	248	1 0 1 0 1 0	3
6	0.7322348094747683	0.711	0.7214611872146118	0.6897594215373398	0.9771	0	0	6234	289	1 0 1 1 0 0	3
3	0.8463687150837989	0.606	0.7062937062937064	0.6898743595235032	0.9742	0	473	6409	394	0 0 1 1 0 1	3
8	0.7838479809976246	0.66	0.7166123778501629	0.6899994861175521	0.9708	0	427	6382	340	0 1 1 1 0 1	4
3	0.7108317214700194	0.735	0.7227138643067846	0.6901375611983729	0.9752	0	499	6211	265	1 0 1 1 0 0	3
4	0.6919561243144424	0.757	0.723018147086915	0.6901862427553541	0.969	0	0	6158	243	1 0 1 0 1 0	3
4	0.6506024096385542	0.81	0.7216035634743875	0.6906429271925434	0.9659	171	438	6129	190	1 1 1 0 1 0	4
7	0.7841043890865955	0.661	0.7173087357569181	0.6907020122785649	0.9721	168	429	6372	339	0 1 1 1 0 1	4
7	0.6942148760330579	0.756	0.7237912876974628	0.6910456646310825	0.9718	0	0	6176	244	1 0 1 0 1 0	3
5	0.6729776247848537	0.782	0.723404255319149	0.6911212061490111	0.8961	162	405	6233	218	0 0 0 1 0 1	2
9	0.6756287944492628	0.779	0.7236414305620065	0.6912471882224248	0.8965	0	404	6221	221	0 0 0 1 0 1	2
3	0.6508828250401284	0.811	0.722172751558326	0.6913488303291264	0.9673	163	431	6151	189	1 1 1 0 1 0	4
5	0.6672297297297297	0.79	0.7234432234432234	0.6914862336062201	0.969	0	428	6182	210	0 1 1 1 1 1	5
3	0.6879496402877698	0.765	0.7244318181818183	0.6918618082728841	0.9705	163	373	6282	235	1 1 1 0 0 1	4
8	0.6694987255734919	0.788	0.7239320165365182	0.6919290592207662	0.9693	0	427	6190	212	0 1 1 1 1 1	5
2	0.6720890410958904	0.785	0.7241697416974169	0.6920304976978907	0.9683	0	429	6196	215	0 1 1 1 1 1	5
3	0.6641604010025063	0.795	0.7237141556668184	0.6920453422157237	0.9722	163	431	6181	205	1 1 1 1 0 0	4
3	0.6918181818181818	0.761	0.7247619047619047	0.692188380310724	0.9273	0	499	6180	239	1 0 0 0 0 0	1
2	0.7174975562072337	0.734	0.7256549678695008	0.6934912395734806	0.9766	0	0	6223	266	1 0 1 1 0 0	3
4	0.6697713801862828	0.791	0.7253553415864282	0.6935979664199455	0.9722	171	438	6166	209	1 1 1 1 0 0	4
9	0.6652754590984975	0.797	0.7252047315741583	0.693692513773035	0.973	160	436	6160	203	1 1 1 1 0 0	4
10	0.6369183829138062	0.835	0.7226308957161403	0.6937068531315993	0.9674	0	437	6105	165	1 1 1 1 1 0	5
3	0.7046095954844779	0.749	0.726126999515269	0.6937467450727229	0.9707	0	473	6218	251	0 0 1 1 1 1	4
6	0.696969696969697	0.759	0.726663475347056	0.694220138176125	0.9719	0	448	6215	241	0 1 1 1 1 1	5
9	0.6979742173112339	0.758	0.7267497603068073	0.6943424835348379	0.9698	0	0	6166	242	1 0 1 0 1 0	3
4	0.7173489278752436	0.736	0.7265547877591313	0.6944900982093675	0.9746	0	0	6197	264	1 0 1 1 0 0	3
3	0.5660490137477585	0.947	0.7085671530115975	0.694793164575865	0.9595	0	388	5950	53	1 0 0 1 1 1	4
4	0.7051643192488263	0.751	0.7273607748184019	0.6950908775874494	0.9705	171	475	6195	249	0 0 1 1 1 1	4
8	0.6195262024407753	0.863	0.7212703719180945	0.6951858375244206	0.9443	0	0	6024	137	1 0 0 1 1 0	3
2	0.6697556866048863	0.795	0.7270233196159122	0.6955533851432779	0.9741	156	435	6190	205	1 1 1 1 0 0	4
10	0.6815008726003491	0.781	0.727865796831314	0.6959598666779006	0.9707	0	0	6149	219	1 0 1 1 1 0	4
2	0.563347083087802	0.956	0.7089358546533184	0.6966488906654535	0.9615	0	394	5928	44	1 0 0 1 1 1	4
3	0.6043507817811012	0.889	0.7195467422096317	0.6966977392183199	0.9514	0	389	6058	111	1 0 0 0 0 1	2
2	0.6947463768115942	0.767	0.729087452471483	0.6970004985094641	0.9722	0	0	6181	233	1 0 1 0 1 0	3
7	0.6319702602230484	0.85	0.7249466950959488	0.6975495306412374	0.9377	0	0	6038	150	1 0 0 1 1 0	3
2	0.64937106918239	0.826	0.727112676056338	0.6976108674658152	0.9692	156	435	6140	174	1 1 1 0 1 0	4
2	0.64765625	0.829	0.7271929824561404	0.697935489997433	0.9305	0	499	6078	171	1 0 0 0 1 0	2
10	0.5685218432076601	0.95	0.711344065892924	0.6979648415614529	0.958	161	388	5943	50	1 0 0 1 1 1	4
4	0.6850877192982456	0.781	0.7299065420560746	0.6982027159036227	0.8941	171	404	6235	219	0 0 0 1 0 1	2
7	0.6524148851939826	0.824	0.7282368537339814	0.6986696708188912	0.9319	0	0	6080	176	1 0 0 0 1 0	2
6	0.6936208445642408	0.772	0.7307146237576906	0.698848796212489	0.972	0	0	6161	228	1 0 1 1 1 0	4
9	0.6544585987261147	0.822	0.7287234042553191	0.699009908280683	0.9281	0	499	6069	178	1 0 0 0 1 0	2
9	0.7125237191650854	0.751	0.7312560856864655	0.6994796519134372	0.9752	0	0	6186	249	1 0 1 1 0 0	3
8	0.6705685618729097	0.802	0.7304189435336976	0.6995971488786324	0.9747	160	433	6190	198	1 1 1 1 0 0	4
9	0.5741190765492102	0.945	0.7142857142857143	0.6999435434067334	0.9562	0	389	5942	55	1 0 0 1 1 1	4
4	0.6470131885182312	0.834	0.72870249017038	0.6999667474232042	0.9299	0	0	6050	166	1 0 0 0 1 0	2
7	0.6881057268722467	0.781	0.731615925058548	0.7000772005510388	0.9751	167	435	6215	219	1 1 1 1 0 0	4
9	0.707749766573296	0.758	0.7320135200386286	0.7002621944380256	0.971	0	476	6198	242	0 0 1 1 1 1	4
5	0.6612641815235009	0.816	0.7305282005371531	0.7005373958949245	0.9708	161	435	6166	184	1 1 1 0 1 0	4
5	0.6252707581227437	0.866	0.7262054507337525	0.7005682525719521	0.9353	162	498	6034	134	1 0 0 1 1 0	3
6	0.7130681818181818	0.753	0.7324902723735408	0.7008251012880723	0.9754	0	496	6201	247	1 1 1 1 0 0	4
1	0.6492595479345284	0.833	0.7297415681121332	0.7009798100905078	0.9381	0	0	6058	167	1 0 0 0 1 0	2
1	0.6599516518936341	0.819	0.7309236947791163	0.7011636703556801	0.9693	173	434	6141	181	1 1 1 0 1 0	4
10	0.68068669527897	0.793	0.7325635103926097	0.701502387577196	0.9286	162	0	6152	207	1 0 0 0 0 0	1
5	0.6713928273561302	0.805	0.7321509777171442	0.7016175394477363	0.9746	161	435	6187	195	1 1 1 1 0 0	4
7	0.6478328173374613	0.837	0.7303664921465969	0.7019604469500231	0.97	167	435	6126	163	1 1 1 1 1 0	5
2	0.6921029281277729	0.78	0.7334273624823696	0.7020210171733519	0.9361	0	0	6175	220	1 0 0 0 0 0	1
8	0.6898678414096916	0.783	0.7334894613583137	0.7021962522136256	0.9028	0	404	6256	217	0 0 0 1 0 1	2
6	0.5731487055990367	0.952	0.7155204810221721	0.7023048893793497	0.9611	153	390	5953	48	1 0 0 1 1 1	4
1	0.633480825958702	0.859	0.7292020373514432	0.7028784967434523	0.9457	0	0	6023	141	1 0 0 1 1 0	3
9	0.6478764478764478	0.839	0.7311546840958606	0.7029335661720458	0.9675	160	436	6109	161	1 1 1 1 1 0	5
4	0.6469230769230769	0.841	0.731304347826087	0.7032943011676662	0.967	171	438	6106	159	1 1 1 1 1 0	5
6	0.6079891672308734	0.898	0.7250706499798143	0.7033570900878965	0.9519	153	391	6048	102	1 0 0 0 0 1	2
