testing_set_index	precision	recall	F1	MCC	AUC	fungal_FP	protist_FP	bacterial_FP	viral_FN	toolcombo	numtools
5	0.813953488372093	0.07	0.1289134438305709	0.2209728395458311	0.9547	0	496	6465	930	0 1 1 0 0 0	2
4	0.5955056179775281	0.106	0.1799660441426146	0.22117877685541698	0.9522	171	499	6403	894	0 1 1 0 1 0	3
8	0.8020833333333334	0.077	0.1405109489051095	0.22968472765251058	0.9522	0	495	6461	923	0 1 1 0 0 0	2
3	0.8020833333333334	0.077	0.1405109489051095	0.22969902643269868	0.9496	0	0	6460	923	0 1 1 0 0 0	2
10	0.6363636363636364	0.105	0.18025751072961374	0.23048341475711773	0.9555	0	497	6422	895	0 1 1 0 1 0	3
6	0.6622516556291391	0.1	0.1737619461337967	0.23099916116767286	0.9594	0	0	6423	900	0 1 1 0 1 0	3
9	0.8860759493670886	0.07	0.12974976830398519	0.23319940973754513	0.9498	0	498	6460	930	0 1 1 0 0 0	2
1	0.8505747126436781	0.074	0.13615455381784727	0.23372948025775878	0.953	0	499	6451	926	0 1 1 0 0 0	2
9	0.6408839779005525	0.116	0.19644369178662152	0.24363589904455513	0.9522	0	498	6409	884	0 1 1 0 1 0	3
2	0.644808743169399	0.118	0.19949281487743026	0.2467917471536133	0.9542	0	497	6416	882	0 1 1 0 1 0	3
1	0.659217877094972	0.118	0.2001696352841391	0.25055990840882764	0.956	0	499	6405	882	0 1 1 0 1 0	3
3	0.6345177664974619	0.125	0.20885547201336674	0.2514257907445082	0.9541	0	0	6412	875	0 1 1 0 1 0	3
8	0.6446700507614214	0.127	0.21219715956558063	0.2562119096940911	0.9564	0	495	6415	873	0 1 1 0 1 0	3
5	0.6578947368421053	0.125	0.21008403361344538	0.25767568582846934	0.9577	0	496	6419	875	0 1 1 0 1 0	3
7	0.6772486772486772	0.128	0.21530698065601347	0.2659533207361897	0.9546	168	0	6414	872	0 1 1 0 1 0	3
10	0.383916990920882	0.296	0.334274421230943	0.2708506050208106	0.6429	160	284	6287	704	0 1 0 1 0 0	2
10	0.3492682926829268	0.358	0.35358024691358025	0.27766950674559104	0.7788	160	284	6109	642	0 1 0 1 1 0	3
3	0.3791866028708134	0.317	0.3453159041394335	0.2783666800762798	0.762	154	247	6287	683	0 1 0 0 0 1	2
9	0.3883495145631068	0.32	0.3508771929824561	0.285245087054411	0.7787	155	257	6283	680	0 1 0 0 0 1	2
10	0.9333333333333333	0.098	0.1773755656108597	0.2854925736629599	0.9695	0	0	6470	902	0 0 1 1 0 0	2
6	0.38814993954050786	0.321	0.35139573070607555	0.28555788302444285	0.7669	148	253	6283	679	0 1 0 0 0 1	2
8	0.3972602739726027	0.319	0.3538546866333888	0.29012263065282073	0.778	158	250	6304	681	0 1 0 0 0 1	2
5	0.3976190476190476	0.334	0.3630434782608695	0.2977186637411529	0.7861	154	253	6291	666	0 1 0 0 0 1	2
1	0.402187120291616	0.331	0.3631376851343938	0.2989912182860699	0.7741	165	250	6293	669	0 1 0 0 0 1	2
2	0.4023391812865497	0.344	0.3708894878706199	0.30538251356547325	0.7825	152	253	6280	656	0 1 0 0 0 1	2
7	0.4028103044496487	0.344	0.3710895361380798	0.3057218179678535	0.7871	159	249	6279	656	0 1 0 0 0 1	2
4	0.406799531066823	0.347	0.3745277927684835	0.30960968071850403	0.7744	166	254	6282	653	0 1 0 0 0 1	2
10	0.41935483870967744	0.364	0.3897216274089936	0.32553369173526514	0.792	160	252	6282	636	0 1 0 0 0 1	2
10	0.5116279069767442	0.286	0.3669018601667735	0.3318419234202907	0.7451	0	0	6232	714	0 0 0 1 1 0	2
10	0.8713450292397661	0.149	0.25448334756618274	0.3382800136931824	0.9579	0	497	6458	851	0 1 1 1 0 0	3
10	0.7188498402555911	0.225	0.34272658035034276	0.36951795832227075	0.6064	0	0	6403	775	0 0 0 1 0 0	1
10	0.6737400530503979	0.254	0.3689179375453885	0.3770920136820306	0.9626	0	0	6367	746	0 0 1 1 1 0	3
3	0.6263736263736264	0.285	0.3917525773195876	0.3814898876792292	0.7746	0	403	6415	715	0 0 0 0 0 1	1
9	0.6297872340425532	0.296	0.4027210884353741	0.39050953815554806	0.7923	0	404	6397	704	0 0 0 0 0 1	1
6	0.6425438596491229	0.293	0.4024725274725275	0.39364769710747455	0.7834	154	404	6413	707	0 0 0 0 0 1	1
8	0.6487695749440716	0.29	0.40082930200414646	0.39412209341285415	0.7931	0	404	6421	710	0 0 0 0 0 1	1
3	0.6738095238095239	0.283	0.39859154929577467	0.3990311888875697	0.956	0	427	6419	717	0 1 1 0 0 1	3
1	0.6555555555555556	0.295	0.4068965517241379	0.40043648399019616	0.7885	0	405	6413	705	0 0 0 0 0 1	1
5	0.6584821428571429	0.295	0.40745856353591153	0.4016168120369875	0.7957	162	405	6430	705	0 0 0 0 0 1	1
