name	len	score	pvalue
virus--NC_003038.1	212482	0.950066864490509	0.013577309464461063
virus--NC_002188.1	288539	0.9794483184814453	0.009347382732834806
virus--NC_001523.1	8374	0.35187864303588867	0.10740992522093813
virus--NC_001662.1	4801	0.9986283779144287	0.00411662512274341
virus--NC_001909.1	31754	0.9993596076965332	0.0030402598383563713
virus--NC_004775.2	39672	0.4306586980819702	0.0888095777626709
virus--NC_004683.1	57050	0.9362517595291138	0.015012463176977114
virus--NC_004305.1	42259	0.7740961313247681	0.027456756552609714
virus--NC_004540.1	7591	0.9089159965515137	0.017089659339829293
virus--NC_004289.1	5380	0.908095121383667	0.017108542941309767
virus--NC_005345.2	49220	0.9770914912223816	0.009649520356522397
virus--NC_002190.2	3909	0.9784368276596069	0.009517335146159076
virus--NC_004828.1	4694	0.5329119563102722	0.05189213686834353
virus--NC_006565.1	131522	0.9934687614440918	0.006647027721126973
virus--NC_001844.1	145597	0.7904660105705261	0.02613490444897651
virus--NC_003509.1	7711	0.1472296118736267	0.16585467180300628
virus--NC_001408.1	7286	0.13115300238132477	0.17329481078631317
virus--NC_002042.1	3593	0.4821491241455078	0.07309842133091624
virus--NC_003772.1	3195	0.8074358701705933	0.024680867134979984
virus--NC_003735.1	3617	0.7645143270492554	0.028249867814789636
virus--NC_003924.1	9185	0.8929629325866699	0.018260442631618704
virus--NC_005287.1	4421	0.6212131977081299	0.039938817131203265
virus--NC_004714.1	5533	0.21186432242393494	0.14311881562051515
virus--NC_003532.1	4733	0.9404456615447998	0.014804743560691894
virus--NC_005217.1	6562	0.8272503614425659	0.02322682982098346
virus--NC_006550.1	9104	0.46286138892173767	0.08012312108165269
virus--NC_006559.1	8026	0.6373003125190735	0.03839036180980437
virus--NC_006313.1	7133	0.9509885907173157	0.013501775058539165
virus--NC_001278.1	4113	0.8428963422775269	0.022018279326233098
virus--NC_005080.1	7114	0.8335747718811035	0.022660321776569226
virus--NC_007019.1	34704	0.9957257509231567	0.0058350328574665765
virus--NC_004065.1	230278	0.9181873798370361	0.01642873328801269
virus--NC_003215.1	11442	0.8896359205245972	0.018524813052345344
virus--NC_001632.1	12226	0.5108460187911987	0.05697182566659113
virus--NC_003544.1	3732	0.1639930009841919	0.1592642948863207
virus--NC_007015.1	7434	0.0931851714849472	0.1938024019941083
virus--NC_001445.1	9741	0.9904617667198181	0.0072890701714631015
virus--NC_005029.1	10538	0.9985151290893555	0.004229926731626255
virus--NC_007383.1	134394	0.5106915235519409	0.0570662436739935
virus--NC_007433.1	10429	0.9232120513916016	0.016013294055442252
virus--NC_007548.1	3538	0.8465263247489929	0.021772792506986934
virus--NC_007609.1	6181	0.05418701842427254	0.22919027116851726
virus--NC_007804.2	39104	0.45292940735816956	0.08280459249188005
virus--NC_008798.1	43265	0.9973962306976318	0.005041921595286653
virus--NC_008302.1	8912	0.946818470954895	0.014068283102953395
virus--NC_007967.1	38194	0.9898191690444946	0.0074590225847873705
virus--NC_008349.1	134417	0.3658681809902191	0.10459626860034746
virus--NC_008584.1	152372	0.9895966053009033	0.007515673389228794
virus--NC_009875.1	17938	1.0	0.0
virus--NC_009237.1	37446	0.23722705245018005	0.13575421104313015
virus--NC_009810.1	38867	0.9320828914642334	0.015427902409547549
virus--NC_009994.1	9570	0.946351945400238	0.014068283102953395
virus--NC_009551.1	43249	1.0	0.0
virus--NC_009568.1	7522	0.8561636805534363	0.02111186645517033
virus--NC_010739.1	7582	0.540818452835083	0.05034368154694464
virus--NC_011086.1	6290	0.6460676193237305	0.03744618173578065
virus--NC_011142.1	47453	0.6551425457000732	0.036709721278042146
