"","toolcombo","toolcombo2","assembly","num_viruses","prop_vir","numtools","environment"
"4139","1 0 1 1 0 1","tv 0 tnv VB 0 VS2","Sp13VDMM110SDSp13VDMM110SDFD",2073,0.716557207051504,4,"Lake_Michigan"
"4140","1 0 1 1 1 1","tv 0 tnv VB VS VS2","Sp13VDMM110SDSp13VDMM110SDFD",2073,0.716557207051504,5,"Lake_Michigan"
"4141","0 1 1 0 0 1","0 DVF tnv 0 0 VS2","Su13VDMM15SNSu13VDMM15SNFD",112,0.717948717948718,3,"Lake_Michigan"
"4142","0 1 1 0 1 1","0 DVF tnv 0 VS VS2","Su13VDMM15SNSu13VDMM15SNFD",112,0.717948717948718,4,"Lake_Michigan"
"4143","0 1 1 1 0 1","0 DVF tnv VB 0 VS2","Su13VDMM15SNSu13VDMM15SNFD",112,0.717948717948718,4,"Lake_Michigan"
"4144","0 1 1 1 1 1","0 DVF tnv VB VS VS2","Su13VDMM15SNSu13VDMM15SNFD",112,0.717948717948718,5,"Lake_Michigan"
"4145","0 1 1 0 0 1","0 DVF tnv 0 0 VS2","Sp13VDMM110DDSp13VDMM110DDFD",1403,0.718381976446493,3,"Lake_Michigan"
"4146","0 1 1 0 1 1","0 DVF tnv 0 VS VS2","Sp13VDMM110DDSp13VDMM110DDFD",1403,0.718381976446493,4,"Lake_Michigan"
"4147","1 1 0 0 0 0","tv DVF 0 0 0 0","Sp13VDMM15DDSp13VDMM15DDFD",597,0.71841155234657,2,"Lake_Michigan"
"4148","1 1 0 0 1 0","tv DVF 0 0 VS 0","Sp13VDMM15DDSp13VDMM15DDFD",597,0.71841155234657,3,"Lake_Michigan"
"4149","0 1 1 1 0 1","0 DVF tnv VB 0 VS2","Sp13VDMM110DDSp13VDMM110DDFD",1404,0.71889400921659,4,"Lake_Michigan"
"4150","0 1 1 1 1 1","0 DVF tnv VB VS VS2","Sp13VDMM110DDSp13VDMM110DDFD",1404,0.71889400921659,5,"Lake_Michigan"
"4151","0 1 0 1 0 0","0 DVF 0 VB 0 0","Su13VDMLBDDSu13VDMLBDDFD",7442,0.720914462849947,2,"Lake_Michigan"
"4152","0 1 0 1 1 0","0 DVF 0 VB VS 0","Su13VDMLBDDSu13VDMLBDDFD",7442,0.720914462849947,3,"Lake_Michigan"
"4153","1 0 1 0 0 1","tv 0 tnv 0 0 VS2","Fa13NDMM110SNFa13NDMM110SNFD",2169,0.723965287049399,3,"Lake_Michigan"
"4154","1 0 1 0 1 1","tv 0 tnv 0 VS VS2","Fa13NDMM110SNFa13NDMM110SNFD",2169,0.723965287049399,4,"Lake_Michigan"
"4155","1 0 1 1 0 1","tv 0 tnv VB 0 VS2","Fa13NDMM110SNFa13NDMM110SNFD",2172,0.724966622162884,4,"Lake_Michigan"
"4156","1 0 1 1 1 1","tv 0 tnv VB VS VS2","Fa13NDMM110SNFa13NDMM110SNFD",2172,0.724966622162884,5,"Lake_Michigan"
"4157","1 1 0 1 0 0","tv DVF 0 VB 0 0","Sp13VDMM15DDSp13VDMM15DDFD",609,0.732851985559567,3,"Lake_Michigan"
"4158","1 1 0 1 1 0","tv DVF 0 VB VS 0","Sp13VDMM15DDSp13VDMM15DDFD",609,0.732851985559567,4,"Lake_Michigan"
"4159","0 1 1 0 0 1","0 DVF tnv 0 0 VS2","Fa13NDMLBSNFa13NDMLBSNFD",3469,0.739816592023886,3,"Lake_Michigan"
"4160","0 1 1 0 1 1","0 DVF tnv 0 VS VS2","Fa13NDMLBSNFa13NDMLBSNFD",3469,0.739816592023886,4,"Lake_Michigan"
"4161","0 1 1 1 0 1","0 DVF tnv VB 0 VS2","Fa13NDMLBSNFa13NDMLBSNFD",3479,0.741949242908936,4,"Lake_Michigan"
